cont_id;cust_id;comp_nm;first_name;last_name;role;email;phone
458792;1002458;Volvo AB;Anna;Andersson;Logistics Manager;anna@volvo.se;4670XXXXXXX
396712;1002459;IKEA;Anna;Andersson;Logistics Manager;anna@ikea.se;4670XXXXXXX
248969;1002460;H&M;Anna;Andersson;Logistics Manager;anna@hm.se;4670XXXXXXX
514324;1002461;Dustcontrol AB;Anna;Andersson;Logistics Manager;anna@dc.se;4670XXXXXXX
518792;1002462;Epiroc Sverige;Anna;Andersson;Logistics Manager;anna@epiroc.se;4670XXXXXXX
504357;1002463;Ahlsell;Anna;Andersson;Logistics Manager;anna@ahlsell.se;4670XXXXXXX
518976;1002464;IM Transmission;Anna;Andersson;Logistics Manager;anna@imt.se;4670XXXXXXX
514302;1002465;Nolek AB;Anna;Andersson;Logistics Manager;anna@nolke.se;4670XXXXXXX
537163;1002466;Ocab AB;Anna;Andersson;Logistics Manager;anna@ocab.se;4670XXXXXXX
516298;1002467;EG Electronics;Anna;Andersson;Logistics Manager;annna@eg.se;4670XXXXXXX
538659;1002468;ESL Studios;Anna;Andersson;Logistics Manager;anna@esl.se;4670XXXXXXX
483613;1002469;Professional Parts;Anna;Andersson;Logistics Manager;anna@pps.se;4670XXXXXXX
516003;1002470;Swedish Lorry Parts;Anna;Andersson;Logistics Manager;anna@slp.se;4670XXXXXXX
505203;1002471;Man Truck AB;Anna;Andersson;Logistics Manager;anna@mt.se;4670XXXXXXX
486192;1002472;APL AB;Anna;Andersson;Logistics Manager;anna@apl.se;4670XXXXXXX
451210;1002473;Scania Sverige AB;Anna;Andersson;Logistics Manager;anna@scania.se;4670XXXXXXX
487671;1002474;Tamro AB;Anna;Andersson;Logistics Manager;anna@tamro.se;4670XXXXXXX
509314;1002475;DANX AB;Anna;Andersson;Logistics Manager;anna@danx.se;4670XXXXXXX
540982;1002476;Zip-Up AB;Anna;Andersson;Logistics Manager;anna@zipup.se;4670XXXXXXX
553931;1002477;Bilia AB;Anna;Andersson;Logistics Manager;anna@bilia.se;4670XXXXXXX
508659;1002478;Conapto AB;Anna;Andersson;Logistics Manager;anna@conapto.se;4670XXXXXXX
455286;1002479;Scanreco AB;Anna;Andersson;Logistics Manager;anna@scanreco.se;4670XXXXXXX
560509;1002480;Copiax AB;Anna;Andersson;Logistics Manager;anna@copiax.se;4670XXXXXXX
530523;1002481;Karl Storz Endoskop;Anna;Andersson;Logistics Manager;anna@kse.se;4670XXXXXXX
488806;1002482;Rexel AB;Anna;Andersson;Logistics Manager;anna@rexel.se;4670XXXXXXX
468267;1002483;OTIS AB;Anna;Andersson;Logistics Manager;anna@otis.se;4670XXXXXXX
567659;1002484;Essilor Luxottica;Anna;Andersson;Logistics Manager;anna@elab.se;4670XXXXXXX
508847;1002485;Bravida AB;Anna;Andersson;Logistics Manager;anna@bravida.se;4670XXXXXXX
446931;1002486;IBM;Anna;Andersson;Logistics Manager;anna@ibm.se;4670XXXXXXX
506192;1002487;Coromatic AB;Anna;Andersson;Logistics Manager;anna@coromatic.se;4670XXXXXXX
510449;1002488;EcoDataCenter;Anna;Andersson;Logistics Manager;anna@edc.se;4670XXXXXXX
500166;1002489;Schneider Electric;Anna;Andersson;Logistics Manager;anna@schneider.se;4670XXXXXXX
